Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
4456874,SA_0000001419,COUNTRY,TLS,YEAR,SEAR,South-East Asia,SEX,2004,SEX_FMLE,,,,,,,218,218.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Timor-Leste
4694859,SA_0000001419,COUNTRY,GHA,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,306,306.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Ghana
7467408,SA_0000001419,COUNTRY,LUX,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,294,294.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Luxembourg
4621947,SA_0000001419,COUNTRY,KOR,YEAR,WPR,Western Pacific,SEX,2004,SEX_MLE,,,,,,,1,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,"Korea, Republic of"
6990730,SA_0000001419,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,365,365.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Marshall Islands
3039165,SA_0000001419,COUNTRY,CZE,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,141,141.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Czechia
7202388,SA_0000001419,COUNTRY,BDI,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,105,105.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Burundi
4588982,SA_0000001419,COUNTRY,TCD,YEAR,AFR,Africa,SEX,2004,SEX_BTSX,,,,,,,111,111.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Chad
401828,SA_0000001419,COUNTRY,CHN,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,68,68.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,China
24247,SA_0000001419,COUNTRY,CHL,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,87,87.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Chile
8898694,SA_0000001419,COUNTRY,ITA,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,277,277.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Italy
1313527,SA_0000001419,COUNTRY,BDI,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,185,185.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Burundi
4450598,SA_0000001419,COUNTRY,AUS,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,171,171.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Australia
5521482,SA_0000001419,COUNTRY,MMR,YEAR,SEAR,South-East Asia,SEX,2004,SEX_FMLE,,,,,,,177,177.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Myanmar
738432,SA_0000001419,COUNTRY,MKD,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,290,290.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,North Macedonia
5025369,SA_0000001419,COUNTRY,UKR,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,298,298.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Ukraine
6885131,SA_0000001419,COUNTRY,LVA,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,304,304.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Latvia
4145316,SA_0000001419,COUNTRY,HUN,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,302,302.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Hungary
936775,SA_0000001419,COUNTRY,SLV,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,54,54.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,El Salvador
1413061,SA_0000001419,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,290,290.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Philippines
4006129,SA_0000001419,COUNTRY,KGZ,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,195,195.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kyrgyzstan
