Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
9036608,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,GHA,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,1.4,1.4,,,,2023-04-20T07:33:12+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Ghana
5792151,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CPV,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,3.7,3.7,,,,2023-04-20T07:33:07+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Cabo Verde
6315952,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,MRT,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,1.7,1.7,,,,2023-04-20T07:33:16+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Mauritania
7300898,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CHE,YEAR,EUR,Europe,SEX,SEX_BTSX,2020,,,,,,,3.9,3.9,,,,2023-04-20T07:33:21+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Switzerland
5686163,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CMR,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,1.9,1.9,,,,2023-04-20T07:33:08+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Cameroon
1233330,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,GMB,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,0.4,0.38,,,,2023-04-20T07:33:11+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Gambia
8731972,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,MUS,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,2.3,2.3,,,,2023-04-20T07:33:16+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Mauritius
8990146,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,VUT,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2020,,,,,,,2.5,2.5,,,,2023-04-20T07:33:24+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Vanuatu
19106,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BEL,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,6.2,6.2,,,,2023-04-20T07:33:06+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Belgium
57407,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CUB,YEAR,AMR,Americas,SEX,SEX_BTSX,2020,,,,,,,5.2,5.2,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Cuba
